type,type_encoded,severity,affected_radius_km,hour,impacted_shipments,delay_min
congestion,1,10.0,108.99,15.0,63,176
blockage,2,4.58,84.99,4.0,22,184
weather,0,1.0,40.55,16.0,13,32
congestion,1,8.01,47.83,15.0,39,113
blockage,2,7.8,106.36,6.0,30,295
vehicle_issue,3,4.03,51.9,20.0,7,32
vehicle_issue,3,2.83,30.32,10.0,5,21
congestion,1,9.19,64.47,0.0,46,132
congestion,1,8.11,21.21,15.0,31,93
congestion,1,3.04,67.31,10.0,30,79
blockage,2,7.95,115.82,8.0,32,311
congestion,1,2.84,116.72,10.0,44,113
congestion,1,1.98,75.26,23.0,28,72
weather,0,6.82,104.89,9.0,60,156
congestion,1,9.29,99.59,16.0,56,157
weather,0,10.0,113.99,20.0,56,148
blockage,2,4.87,104.95,13.0,25,206
vehicle_issue,3,2.23,109.47,21.0,10,40
vehicle_issue,3,5.99,25.61,11.0,7,32
congestion,1,7.21,20.75,5.0,27,81
vehicle_issue,3,10.0,3.42,11.0,8,42
vehicle_issue,3,2.07,77.04,2.0,8,32
congestion,1,6.81,109.87,7.0,71,192
vehicle_issue,3,5.91,120.0,4.0,14,60
congestion,1,6.54,103.33,1.0,49,131
vehicle_issue,3,1.0,101.15,3.0,9,34
congestion,1,1.0,62.56,20.0,22,55
congestion,1,6.93,54.15,20.0,37,107
weather,0,1.86,77.86,21.0,25,62
vehicle_issue,3,7.11,3.38,0.0,6,29
congestion,1,1.0,95.71,23.0,32,78
vehicle_issue,3,8.88,78.99,8.0,14,60
weather,0,4.05,21.01,9.0,21,58
blockage,2,4.96,79.55,4.0,20,172
congestion,1,4.02,73.55,22.0,34,90
congestion,1,5.0,95.42,23.0,43,116
weather,0,5.82,100.02,16.0,42,108
weather,0,7.22,31.19,1.0,26,75
congestion,1,7.17,99.27,10.0,50,138
congestion,1,9.86,22.87,6.0,37,112
vehicle_issue,3,2.07,47.2,22.0,5,22
congestion,1,8.93,57.0,15.0,45,129
weather,0,7.16,96.15,23.0,43,114
congestion,1,4.13,109.13,20.0,44,116
blockage,2,10.0,1.01,12.0,16,214
congestion,1,7.86,90.8,6.0,51,141
vehicle_issue,3,1.8,105.67,18.0,10,40
congestion,1,1.72,116.6,16.0,40,102
blockage,2,7.4,32.68,18.0,16,151
weather,0,8.14,18.2,22.0,26,77
weather,0,1.19,59.7,14.0,18,44
vehicle_issue,3,6.78,107.09,16.0,14,60
congestion,1,6.1,37.2,10.0,30,85
congestion,1,9.74,61.7,11.0,48,140
blockage,2,8.07,118.02,3.0,32,311
weather,0,10.0,53.01,4.0,40,113
blockage,2,1.0,74.72,23.0,14,107
congestion,1,7.92,120.0,4.0,60,163
weather,0,4.18,44.17,1.0,22,59
congestion,1,5.92,32.0,19.0,36,106
congestion,1,9.2,33.85,3.0,37,111
weather,0,8.99,75.89,11.0,43,117
blockage,2,3.06,20.98,8.0,8,72
blockage,2,3.08,21.25,9.0,8,73
congestion,1,8.07,32.56,9.0,44,130
vehicle_issue,3,9.03,62.77,0.0,12,56
blockage,2,7.32,101.16,6.0,27,234
vehicle_issue,3,1.17,65.35,15.0,6,23
weather,0,1.62,90.66,1.0,30,72
vehicle_issue,3,7.97,111.82,6.0,16,66
congestion,1,8.22,87.32,21.0,51,141
blockage,2,8.88,76.22,15.0,27,282
vehicle_issue,3,6.0,1.89,12.0,5,25
congestion,1,5.01,52.29,13.0,31,87
congestion,1,2.24,33.49,23.0,16,43
weather,0,7.84,65.18,1.0,37,101
blockage,2,9.86,113.18,21.0,34,347
vehicle_issue,3,1.08,36.82,11.0,4,16
congestion,1,5.05,19.29,11.0,21,62
weather,0,4.08,99.95,5.0,36,92
congestion,1,8.05,118.96,9.0,78,211
congestion,1,7.98,94.74,13.0,52,144
vehicle_issue,3,3.08,16.92,6.0,4,17
weather,0,10.0,66.83,8.0,56,156
congestion,1,1.96,52.88,23.0,21,55
blockage,2,7.99,75.64,19.0,25,260
weather,0,7.92,80.42,14.0,42,112
vehicle_issue,3,1.89,97.51,7.0,9,37
vehicle_issue,3,7.08,33.18,20.0,8,37
congestion,1,2.8,116.92,20.0,44,112
blockage,2,3.1,26.49,23.0,9,80
vehicle_issue,3,1.0,14.95,16.0,2,9
blockage,2,7.98,101.46,5.0,29,288
weather,0,8.97,55.81,9.0,49,137
weather,0,6.08,61.42,22.0,31,84
congestion,1,8.22,38.34,2.0,36,105
weather,0,4.27,5.44,19.0,16,47
congestion,1,6.16,21.65,12.0,25,75
blockage,2,8.01,92.21,10.0,27,278
blockage,2,5.12,24.82,3.0,12,113
weather,0,6.7,120.0,22.0,49,127
weather,0,2.09,92.28,5.0,30,73
weather,0,6.06,99.1,14.0,42,109
congestion,1,8.77,104.67,13.0,58,162
vehicle_issue,3,7.91,87.77,9.0,13,58
congestion,1,4.04,56.16,3.0,29,79
congestion,1,6.06,111.08,3.0,51,137
blockage,2,7.14,52.12,15.0,19,174
weather,0,10.0,13.26,17.0,38,114
weather,0,8.98,74.2,5.0,42,115
weather,0,8.83,12.38,18.0,35,104
blockage,2,8.12,79.07,16.0,25,263
congestion,1,4.19,116.61,4.0,48,125
blockage,2,4.19,83.19,9.0,19,162
blockage,2,5.07,25.43,8.0,12,111
congestion,1,5.3,17.32,13.0,20,61
vehicle_issue,3,9.96,42.75,1.0,11,53
vehicle_issue,3,9.24,17.12,22.0,9,41
weather,0,8.83,69.77,13.0,41,113
vehicle_issue,3,6.66,94.89,16.0,13,56
weather,0,1.82,78.31,14.0,26,64
weather,0,1.91,76.84,9.0,32,79
blockage,2,3.0,53.92,20.0,13,111
weather,0,6.86,23.86,7.0,31,90
congestion,1,4.02,73.94,0.0,35,94
weather,0,7.1,49.8,13.0,31,87
congestion,1,9.05,38.6,2.0,38,113
vehicle_issue,3,3.98,77.51,19.0,10,40
vehicle_issue,3,10.0,45.22,0.0,12,54
weather,0,5.88,19.3,5.0,21,61
blockage,2,8.96,58.95,22.0,24,259
congestion,1,1.0,34.74,6.0,14,35
congestion,1,3.1,86.63,12.0,35,92
blockage,2,9.94,9.05,20.0,17,218
vehicle_issue,3,9.06,103.33,5.0,15,67
congestion,1,6.12,56.7,7.0,45,127
weather,0,1.0,3.05,0.0,3,10
vehicle_issue,3,1.0,18.04,19.0,2,9
vehicle_issue,3,4.97,114.19,2.0,13,54
congestion,1,8.88,62.03,23.0,46,133
blockage,2,3.9,95.3,17.0,21,175
vehicle_issue,3,8.63,108.65,7.0,16,68
blockage,2,5.76,38.34,11.0,16,143
congestion,1,2.12,63.53,12.0,26,67
vehicle_issue,3,5.86,76.7,17.0,11,48
vehicle_issue,3,4.17,99.45,8.0,11,46
blockage,2,2.89,51.38,6.0,13,109
weather,0,7.07,113.62,3.0,48,125
congestion,1,2.96,72.23,10.0,31,82
blockage,2,10.0,105.88,11.0,33,336
congestion,1,8.96,10.68,14.0,30,94
blockage,2,8.03,57.49,20.0,22,235
blockage,2,1.18,22.17,5.0,5,43
weather,0,10.0,112.0,5.0,54,146
blockage,2,4.9,32.33,6.0,13,115
blockage,2,7.72,86.12,3.0,27,271
weather,0,1.98,7.99,3.0,7,21
blockage,2,8.06,24.77,19.0,17,198
blockage,2,4.02,40.66,17.0,13,111
weather,0,7.87,95.28,19.0,59,157
blockage,2,3.02,28.01,13.0,10,85
congestion,1,10.0,99.0,19.0,77,217
congestion,1,8.21,94.19,10.0,52,145
blockage,2,4.97,119.48,21.0,27,223
weather,0,5.37,81.56,13.0,34,89
weather,0,1.22,76.27,0.0,23,54
congestion,1,3.03,70.07,4.0,31,81
vehicle_issue,3,8.04,11.59,12.0,8,36
weather,0,9.21,61.65,19.0,51,142
vehicle_issue,3,9.86,102.06,3.0,16,71
weather,0,1.0,3.37,18.0,5,13
congestion,1,2.81,16.46,21.0,14,40
congestion,1,7.96,71.24,4.0,46,129
congestion,1,3.87,99.67,13.0,43,112
weather,0,2.95,39.05,21.0,18,47
vehicle_issue,3,2.99,105.51,7.0,11,43
congestion,1,9.79,40.12,9.0,55,163
vehicle_issue,3,9.2,57.68,10.0,12,53
blockage,2,1.18,112.86,11.0,20,153
blockage,2,8.93,51.01,7.0,23,250
congestion,1,6.22,72.63,12.0,40,110
blockage,2,9.06,111.32,6.0,32,324
vehicle_issue,3,7.16,33.22,19.0,8,38
vehicle_issue,3,6.8,9.93,16.0,7,32
vehicle_issue,3,5.95,114.94,3.0,14,58
weather,0,8.09,67.54,20.0,38,105
blockage,2,8.98,114.22,6.0,33,328
congestion,1,5.97,105.03,12.0,49,133
vehicle_issue,3,1.98,73.47,22.0,7,30
vehicle_issue,3,1.06,56.99,16.0,5,21
vehicle_issue,3,5.02,58.2,22.0,9,37
weather,0,5.23,20.36,14.0,18,52
congestion,1,8.85,54.84,19.0,57,164
blockage,2,1.01,98.01,11.0,17,135
blockage,2,9.11,118.69,4.0,33,331
congestion,1,1.0,114.89,4.0,38,93
weather,0,4.95,117.93,14.0,43,109
weather,0,5.03,2.93,3.0,14,42
blockage,2,6.23,60.93,10.0,20,171
congestion,1,1.02,22.17,11.0,10,27
congestion,1,8.11,75.67,1.0,46,130
vehicle_issue,3,2.12,115.72,20.0,11,42
weather,0,7.59,103.5,1.0,48,127
vehicle_issue,3,6.01,104.97,7.0,13,55
congestion,1,8.93,45.25,20.0,40,118
vehicle_issue,3,10.0,60.57,0.0,13,58
vehicle_issue,3,9.1,32.88,2.0,10,46
blockage,2,5.13,67.61,20.0,19,160
congestion,1,5.08,39.03,6.0,26,75
weather,0,7.02,99.26,21.0,43,114
weather,0,7.13,57.03,3.0,33,90
vehicle_issue,3,8.0,85.56,3.0,13,57
weather,0,5.19,102.03,13.0,40,103
congestion,1,4.84,37.57,22.0,26,74
congestion,1,2.16,75.89,18.0,37,95
blockage,2,1.95,101.17,14.0,19,154
vehicle_issue,3,9.1,114.2,6.0,16,70
blockage,2,9.76,19.57,1.0,19,234
vehicle_issue,3,7.04,79.74,18.0,12,53
blockage,2,3.98,53.69,2.0,15,127
congestion,1,1.0,37.8,4.0,14,35
weather,0,1.0,18.46,10.0,8,20
weather,0,7.0,70.78,8.0,48,128
congestion,1,7.02,38.78,20.0,33,97
weather,0,2.73,80.82,5.0,29,72
congestion,1,1.83,33.42,15.0,16,44
congestion,1,1.02,1.0,10.0,3,10
congestion,1,7.06,93.76,5.0,49,134
vehicle_issue,3,6.99,20.62,23.0,7,34
vehicle_issue,3,4.01,30.8,19.0,6,25
blockage,2,8.0,27.59,17.0,17,203
weather,0,8.92,42.73,11.0,34,97
congestion,1,5.97,57.11,4.0,36,100
blockage,2,2.79,99.68,15.0,20,165
blockage,2,1.0,78.56,23.0,14,110
congestion,1,7.99,16.85,6.0,30,90
congestion,1,6.19,20.62,16.0,25,74
congestion,1,3.98,101.3,20.0,43,112
blockage,2,1.31,30.16,10.0,7,53
weather,0,9.29,27.68,1.0,30,88
blockage,2,10.0,1.0,21.0,16,212
weather,0,4.94,94.28,2.0,37,96
blockage,2,3.34,85.1,18.0,19,155
vehicle_issue,3,7.11,42.52,11.0,9,41
blockage,2,9.07,1.0,17.0,15,191
congestion,1,5.89,94.64,16.0,46,126
vehicle_issue,3,1.0,14.61,4.0,2,8
blockage,2,1.85,57.16,2.0,12,99
congestion,1,1.22,101.5,3.0,33,82
weather,0,5.08,32.09,4.0,21,58
weather,0,4.95,48.25,20.0,25,68
weather,0,5.93,81.9,2.0,36,96
weather,0,7.85,80.19,16.0,42,113
blockage,2,1.99,57.22,9.0,12,99
blockage,2,10.0,53.75,19.0,24,273
vehicle_issue,3,2.66,50.91,14.0,6,27
blockage,2,5.86,60.35,18.0,19,167
vehicle_issue,3,2.9,42.35,19.0,6,25
blockage,2,4.16,29.27,21.0,11,102
congestion,1,8.92,40.5,19.0,50,148
blockage,2,1.0,56.98,9.0,11,85
congestion,1,4.83,43.87,22.0,29,81
congestion,1,6.26,75.48,8.0,51,141
congestion,1,5.94,74.48,14.0,41,112
blockage,2,3.84,120.0,5.0,26,207
congestion,1,3.75,72.61,19.0,45,119
blockage,2,10.0,87.76,2.0,30,316
vehicle_issue,3,3.02,11.65,23.0,3,16
congestion,1,5.07,90.01,11.0,42,114
congestion,1,4.41,62.9,20.0,30,83
congestion,1,7.81,107.51,11.0,55,152
vehicle_issue,3,8.94,116.51,3.0,17,71
weather,0,9.04,25.74,2.0,31,89
vehicle_issue,3,1.0,109.93,21.0,10,37
congestion,1,1.0,79.65,14.0,27,68
vehicle_issue,3,4.08,89.15,3.0,10,43
vehicle_issue,3,4.91,56.58,8.0,9,37
vehicle_issue,3,1.0,46.37,13.0,4,17
vehicle_issue,3,8.87,96.05,10.0,15,65
weather,0,9.23,4.81,1.0,24,74
blockage,2,5.19,65.04,12.0,18,158
weather,0,7.84,9.74,4.0,23,70
congestion,1,5.74,30.76,7.0,36,104
weather,0,7.13,87.29,16.0,41,108
blockage,2,9.31,90.06,16.0,29,298
blockage,2,1.35,106.86,1.0,19,144
blockage,2,2.79,85.27,12.0,19,151
weather,0,5.2,84.7,6.0,34,89
congestion,1,9.0,114.09,10.0,61,168
blockage,2,5.71,65.87,19.0,20,174
vehicle_issue,3,3.87,78.55,9.0,10,40
vehicle_issue,3,1.0,102.09,14.0,9,35
weather,0,6.07,89.88,0.0,39,103
congestion,1,2.79,92.34,11.0,37,95
weather,0,4.14,64.59,18.0,35,92
vehicle_issue,3,10.0,64.39,15.0,13,59
weather,0,6.15,78.48,23.0,36,95
vehicle_issue,3,1.9,83.69,18.0,8,33
weather,0,1.06,69.98,3.0,20,48
weather,0,3.84,23.62,1.0,16,46
vehicle_issue,3,1.1,29.94,6.0,3,13
congestion,1,4.96,59.14,19.0,43,118
congestion,1,4.98,26.38,20.0,23,66
blockage,2,9.0,51.06,17.0,23,251
congestion,1,3.74,19.93,17.0,23,67
blockage,2,3.18,18.27,16.0,8,70
congestion,1,7.01,100.72,7.0,67,182
congestion,1,7.18,63.34,16.0,41,114
congestion,1,1.17,95.46,15.0,31,77
weather,0,1.0,1.0,1.0,3,9
congestion,1,1.96,36.13,22.0,16,44
blockage,2,7.77,2.2,18.0,13,172
weather,0,3.18,2.69,5.0,8,25
weather,0,10.0,6.72,6.0,27,83
blockage,2,5.03,61.97,16.0,18,156
congestion,1,9.96,10.54,5.0,34,104
weather,0,2.85,99.33,19.0,43,106
blockage,2,5.19,63.09,11.0,18,155
vehicle_issue,3,2.3,31.28,2.0,4,17
weather,0,9.2,98.77,16.0,50,132
weather,0,5.97,60.07,22.0,32,85
congestion,1,1.06,43.02,7.0,21,52
blockage,2,8.16,68.03,23.0,24,250
weather,0,9.01,79.49,17.0,58,157
vehicle_issue,3,7.29,67.92,17.0,11,48
congestion,1,9.19,109.44,8.0,79,217
weather,0,3.42,43.56,12.0,19,50
vehicle_issue,3,5.03,48.45,5.0,8,35
weather,0,8.64,104.26,14.0,50,134
weather,0,7.01,77.05,20.0,38,102
vehicle_issue,3,6.94,116.79,15.0,15,63
blockage,2,8.03,97.31,20.0,28,282
congestion,1,7.27,61.0,3.0,40,112
blockage,2,1.92,75.03,14.0,15,124
blockage,2,2.88,51.1,7.0,13,107
blockage,2,7.9,18.74,13.0,15,187
weather,0,3.32,51.32,2.0,21,54
blockage,2,6.93,31.0,9.0,17,153
congestion,1,5.04,82.6,8.0,51,139
vehicle_issue,3,7.28,79.2,12.0,12,52
blockage,2,3.1,113.84,17.0,23,183
weather,0,3.66,10.12,13.0,13,38
vehicle_issue,3,6.93,56.1,21.0,10,45
congestion,1,1.9,47.81,6.0,21,54
congestion,1,3.74,62.9,8.0,40,110
vehicle_issue,3,9.93,13.28,11.0,9,45
vehicle_issue,3,1.59,58.93,14.0,6,26
vehicle_issue,3,6.05,79.4,20.0,11,48
blockage,2,2.0,40.54,14.0,9,78
vehicle_issue,3,7.89,79.17,23.0,13,56
weather,0,1.73,32.17,11.0,14,36
blockage,2,6.21,44.35,12.0,17,150
congestion,1,4.91,104.52,16.0,48,126
congestion,1,7.16,3.41,3.0,22,70
weather,0,1.0,33.7,3.0,11,28
weather,0,6.22,111.48,8.0,58,150
congestion,1,6.09,17.71,1.0,24,71
vehicle_issue,3,3.02,44.58,9.0,6,26
blockage,2,2.87,52.91,8.0,14,114
congestion,1,8.19,77.05,14.0,48,133
congestion,1,5.97,72.72,23.0,40,111
blockage,2,5.88,71.04,13.0,22,187
weather,0,9.98,112.62,22.0,55,148
blockage,2,4.99,47.56,14.0,16,137
blockage,2,9.13,59.92,15.0,24,260
weather,0,9.72,115.06,20.0,56,149
blockage,2,6.36,17.54,13.0,12,116
blockage,2,3.07,116.48,23.0,23,185
blockage,2,5.0,111.69,15.0,26,217
congestion,1,1.07,112.63,8.0,49,120
blockage,2,6.77,9.5,10.0,13,123
vehicle_issue,3,3.02,70.58,15.0,8,33
weather,0,10.0,98.87,6.0,52,140
blockage,2,6.96,40.83,17.0,17,158
blockage,2,5.08,69.89,0.0,19,166
congestion,1,2.12,31.13,17.0,20,54
congestion,1,1.0,17.4,0.0,8,21
vehicle_issue,3,7.19,104.55,3.0,14,59
congestion,1,7.99,116.31,23.0,59,162
blockage,2,3.29,10.41,19.0,6,59
weather,0,1.2,15.24,17.0,9,22
vehicle_issue,3,4.06,68.8,22.0,9,37
blockage,2,7.88,10.38,16.0,15,182
vehicle_issue,3,5.98,74.29,2.0,11,47
blockage,2,1.15,87.62,20.0,15,120
congestion,1,1.92,48.16,5.0,21,55
congestion,1,2.07,91.65,14.0,33,85
blockage,2,8.08,14.48,21.0,15,185
vehicle_issue,3,7.98,37.3,16.0,9,43
weather,0,4.88,97.09,0.0,38,98
vehicle_issue,3,7.24,10.18,18.0,7,31
vehicle_issue,3,1.07,35.46,19.0,4,14
weather,0,5.95,75.08,3.0,35,93
weather,0,2.88,29.62,22.0,16,42
blockage,2,9.13,62.03,4.0,24,259
vehicle_issue,3,4.99,98.82,1.0,12,50
congestion,1,9.15,33.85,13.0,37,110
blockage,2,5.86,53.78,16.0,18,159
vehicle_issue,3,5.05,2.76,2.0,4,21
congestion,1,9.93,85.66,3.0,56,157
weather,0,10.0,43.96,15.0,37,106
vehicle_issue,3,5.06,103.18,1.0,12,51
congestion,1,3.85,10.66,19.0,20,61
congestion,1,7.14,93.97,6.0,49,135
congestion,1,2.19,96.88,20.0,35,90
blockage,2,3.95,95.45,17.0,21,176
congestion,1,8.88,89.71,7.0,70,195
blockage,2,8.67,29.41,19.0,19,224
blockage,2,5.17,49.48,4.0,16,141
weather,0,3.74,46.42,11.0,23,60
congestion,1,8.99,28.81,23.0,36,108
weather,0,2.74,59.35,21.0,23,60
weather,0,1.27,81.58,21.0,24,58
vehicle_issue,3,1.2,57.16,3.0,5,21
blockage,2,2.05,115.35,7.0,22,172
blockage,2,9.16,84.24,1.0,28,291
vehicle_issue,3,1.0,56.44,21.0,5,20
blockage,2,3.88,48.61,18.0,14,123
vehicle_issue,3,6.75,70.68,21.0,11,49
blockage,2,7.12,52.06,2.0,20,175
congestion,1,8.85,28.34,8.0,46,138
blockage,2,10.0,62.41,17.0,26,286
congestion,1,4.83,80.27,8.0,51,138
vehicle_issue,3,3.15,42.67,7.0,6,25
weather,0,1.19,33.58,22.0,12,29
vehicle_issue,3,8.8,29.15,12.0,9,44
vehicle_issue,3,3.93,44.77,17.0,7,29
weather,0,8.97,29.17,18.0,41,117
blockage,2,4.52,93.06,14.0,21,174
vehicle_issue,3,7.96,78.72,17.0,13,55
blockage,2,6.83,34.03,22.0,17,154
congestion,1,8.07,118.56,11.0,60,162
vehicle_issue,3,6.84,77.81,20.0,12,51
blockage,2,3.99,16.84,1.0,9,86
weather,0,1.93,98.96,1.0,31,76
weather,0,1.08,89.96,9.0,34,81
blockage,2,4.92,60.28,11.0,18,153
congestion,1,8.9,33.39,7.0,46,139
weather,0,7.16,96.15,21.0,44,114
vehicle_issue,3,7.04,13.59,0.0,7,33
weather,0,3.0,52.17,2.0,21,54
weather,0,4.71,98.57,15.0,39,99
congestion,1,5.09,95.94,1.0,44,117
weather,0,1.93,77.3,4.0,25,62
congestion,1,7.04,1.0,20.0,22,69
vehicle_issue,3,3.72,41.07,19.0,6,28
vehicle_issue,3,5.04,102.22,18.0,12,51
vehicle_issue,3,6.03,86.85,8.0,12,50
congestion,1,1.0,97.58,4.0,32,80
weather,0,9.87,12.08,7.0,37,111
vehicle_issue,3,3.17,112.24,4.0,11,46
congestion,1,6.89,27.04,5.0,29,88
blockage,2,8.14,41.3,19.0,19,217
weather,0,2.16,102.53,5.0,31,77
blockage,2,2.88,47.27,5.0,13,107
blockage,2,5.11,78.09,6.0,20,173
vehicle_issue,3,8.94,64.95,3.0,13,56
weather,0,7.1,102.07,20.0,45,118
congestion,1,4.86,19.27,21.0,21,62
vehicle_issue,3,8.98,11.6,4.0,8,40
congestion,1,5.01,74.37,19.0,49,134
blockage,2,9.0,100.22,6.0,31,311
weather,0,8.06,110.02,9.0,64,170
blockage,2,1.88,49.53,23.0,11,90
congestion,1,3.92,86.93,15.0,39,102
blockage,2,1.11,47.61,19.0,9,73
vehicle_issue,3,2.94,36.13,10.0,6,24
blockage,2,1.0,3.57,14.0,2,21
congestion,1,1.87,31.9,6.0,15,41
weather,0,1.0,20.58,17.0,11,27
congestion,1,6.85,33.8,23.0,31,91
vehicle_issue,3,5.11,32.52,3.0,7,31
weather,0,4.93,101.53,13.0,40,102
blockage,2,7.84,26.04,6.0,17,198
congestion,1,8.97,99.45,15.0,57,157
congestion,1,5.79,106.1,10.0,49,132
blockage,2,4.87,57.26,9.0,17,147
congestion,1,7.2,88.94,9.0,61,169
congestion,1,4.84,37.46,12.0,27,76
blockage,2,4.98,3.09,4.0,8,84
vehicle_issue,3,3.33,83.33,6.0,9,38
vehicle_issue,3,2.04,74.83,1.0,7,30
blockage,2,1.92,55.46,10.0,12,99
blockage,2,6.7,108.63,14.0,28,241
vehicle_issue,3,9.03,84.05,15.0,14,62
congestion,1,4.88,47.82,5.0,30,85
congestion,1,1.08,10.04,19.0,7,19
congestion,1,6.9,110.48,9.0,68,186
blockage,2,10.0,118.73,19.0,35,352
blockage,2,6.22,78.82,19.0,22,188
weather,0,1.1,91.3,0.0,27,63
vehicle_issue,3,1.0,58.84,1.0,6,22
congestion,1,6.01,31.68,12.0,27,79
vehicle_issue,3,9.14,109.3,20.0,16,69
blockage,2,1.0,82.58,8.0,15,115
vehicle_issue,3,8.25,68.8,14.0,12,52
blockage,2,8.02,81.68,14.0,26,267
blockage,2,1.09,60.13,18.0,12,90
weather,0,2.95,5.82,21.0,10,29
congestion,1,1.01,79.59,13.0,27,67
vehicle_issue,3,5.87,2.91,18.0,5,24
congestion,1,2.23,26.77,14.0,14,39
weather,0,10.0,19.43,7.0,40,119
weather,0,1.32,40.33,13.0,13,33
blockage,2,6.74,108.32,17.0,29,243
blockage,2,8.05,12.86,21.0,14,181
vehicle_issue,3,2.06,43.29,2.0,5,21
vehicle_issue,3,2.89,90.24,8.0,10,39
blockage,2,8.06,106.16,3.0,29,292
blockage,2,1.0,88.18,4.0,16,122
vehicle_issue,3,5.22,115.63,5.0,13,55
weather,0,2.77,83.41,21.0,30,74
blockage,2,1.04,87.15,9.0,16,124
congestion,1,5.12,50.56,22.0,30,85
vehicle_issue,3,4.91,37.2,12.0,7,31
vehicle_issue,3,4.21,55.35,0.0,8,33
blockage,2,8.73,93.86,9.0,29,300
blockage,2,1.0,76.88,17.0,14,110
blockage,2,4.75,93.31,15.0,23,191
blockage,2,1.88,74.9,8.0,15,123
weather,0,7.93,89.58,2.0,44,117
congestion,1,5.92,21.77,18.0,31,93
blockage,2,8.19,41.31,12.0,19,215
blockage,2,1.82,67.89,18.0,14,113
weather,0,4.77,2.93,6.0,14,42
vehicle_issue,3,1.0,109.42,3.0,10,37
vehicle_issue,3,4.02,27.86,8.0,6,25
blockage,2,10.0,12.83,5.0,18,224
weather,0,8.17,76.79,12.0,42,112
vehicle_issue,3,1.0,23.48,12.0,3,11
weather,0,4.25,70.3,3.0,28,73
congestion,1,8.88,28.13,11.0,36,108
vehicle_issue,3,1.96,21.39,9.0,3,14
blockage,2,8.0,89.61,12.0,27,274
weather,0,3.67,46.32,18.0,29,78
weather,0,4.94,67.8,10.0,31,82
congestion,1,9.15,24.15,6.0,35,106
blockage,2,7.09,65.96,21.0,22,192
blockage,2,2.92,49.89,18.0,13,109
weather,0,1.03,4.9,23.0,4,12
weather,0,3.07,88.96,5.0,31,76
blockage,2,4.96,65.37,14.0,19,160
weather,0,2.07,112.05,18.0,44,108
weather,0,8.88,95.77,21.0,49,130
congestion,1,1.0,69.77,4.0,24,59
blockage,2,5.96,6.38,6.0,11,103
weather,0,9.64,92.02,22.0,50,134
weather,0,4.1,63.87,13.0,28,72
weather,0,6.01,99.22,3.0,42,108
congestion,1,1.0,71.15,4.0,24,60
weather,0,8.12,1.0,23.0,21,65
weather,0,10.0,97.38,21.0,51,139
congestion,1,8.16,96.89,5.0,53,146
weather,0,2.24,12.32,13.0,9,24
congestion,1,4.05,82.53,17.0,48,127
blockage,2,7.89,63.39,10.0,23,244
weather,0,8.11,70.66,7.0,51,139
blockage,2,4.89,104.7,16.0,25,208
blockage,2,9.89,29.97,1.0,21,247
blockage,2,2.96,3.38,4.0,5,51
blockage,2,8.17,25.29,0.0,17,199
vehicle_issue,3,5.11,110.61,21.0,13,53
weather,0,8.13,25.68,3.0,28,80
weather,0,6.02,81.99,20.0,37,97
congestion,1,5.09,94.04,9.0,57,151
blockage,2,9.09,96.02,2.0,30,306
vehicle_issue,3,8.9,3.47,13.0,7,37
vehicle_issue,3,9.09,1.0,7.0,7,37
blockage,2,1.0,117.63,11.0,21,158
congestion,1,4.94,63.78,23.0,34,94
congestion,1,7.95,5.86,15.0,27,83
weather,0,8.92,3.31,0.0,24,75
congestion,1,3.96,96.48,2.0,41,109
blockage,2,8.0,108.26,18.0,30,298
weather,0,6.1,63.01,16.0,32,86
vehicle_issue,3,3.23,44.46,11.0,6,26
vehicle_issue,3,9.09,84.31,18.0,14,61
congestion,1,5.02,5.86,5.0,16,51
vehicle_issue,3,6.7,111.49,5.0,14,60
weather,0,3.36,32.22,9.0,21,56
vehicle_issue,3,1.0,23.18,19.0,3,11
vehicle_issue,3,4.9,36.61,23.0,7,31
weather,0,8.19,7.46,6.0,23,69
blockage,2,3.83,47.01,14.0,14,121
congestion,1,10.0,87.76,10.0,56,158
vehicle_issue,3,7.93,58.72,21.0,11,50
weather,0,6.96,81.0,19.0,51,136
weather,0,9.01,25.58,4.0,30,88
congestion,1,8.82,49.7,16.0,41,121
weather,0,7.98,62.2,0.0,37,102
congestion,1,9.15,67.92,12.0,48,136
blockage,2,7.99,22.12,6.0,17,196
blockage,2,9.52,99.66,8.0,30,306
blockage,2,2.01,11.58,7.0,5,46
weather,0,3.82,14.29,13.0,14,40
weather,0,8.92,31.18,20.0,31,90
vehicle_issue,3,4.71,79.76,12.0,10,44
congestion,1,1.16,9.59,20.0,6,17
weather,0,9.24,1.68,23.0,24,73
congestion,1,7.13,55.56,5.0,38,108
weather,0,9.87,40.74,19.0,48,137
congestion,1,1.0,19.29,5.0,9,24
vehicle_issue,3,2.11,78.54,2.0,8,32
congestion,1,5.92,77.03,5.0,41,113
blockage,2,1.87,16.6,9.0,6,51
congestion,1,5.85,31.03,4.0,26,78
congestion,1,4.28,42.86,14.0,25,70
blockage,2,2.93,119.31,14.0,24,191
blockage,2,8.12,91.56,16.0,28,279
congestion,1,1.08,38.56,21.0,15,39
weather,0,8.87,119.38,4.0,54,142
vehicle_issue,3,2.01,54.93,23.0,6,25
weather,0,5.85,45.67,19.0,36,99
vehicle_issue,3,10.0,114.68,1.0,17,74
congestion,1,1.86,92.15,15.0,33,83
vehicle_issue,3,10.0,66.6,6.0,13,60
